yield,NDVI,NDRE,EVI,SAVI,FAPAR,LAI,VH,VV,entropy,alpha,RVI,Rfcum,RH,solarrad,GDD,CC,nitro,pH,OC
4263,0.160456,0.0559939,0.126847,0.312869613,0.35625,0.340524,-16.4162,-13.5258,0.651526,17.8846,0.490413,3.13432,69.904,13575000,2473.961183,366,2.84,6,31.5
5165,0.164125,0.153661,0.24101,0.729486696,0.324375,0.681772,-16.6229,-8.80907,0.716082,19.2165,0.572915,3.13811,69.9584,13575000,2473.961183,379,2.57,7,36.2
5063,0.164976,0.0703551,0.114337,0.33931263,0.429375,0.354799,-17.4995,-6.62562,0.687153,19.6076,0.733433,3.13213,69.972,13667300,2514.984148,365,2.63,7,32.3
5126,0.168926,0.13381,0.267692,0.518145684,0.405625,1.07566,-16.173,-6.864,0.644492,16.7764,0.5004,3.15729,70.235,13646300,2499.948747,385,2.71,7,32.9
4526,0.172435,0.12697,0.186567,0.449242349,0.33125,0.626587,-16.5039,-6.0153,0.695782,18.466,0.596435,3.15938,70.1648,13646300,2499.948747,386,2.58,7,31
5753,0.181133,0.108763,0.254729,0.372229987,0.36125,0.542861,-13.7459,-8.70621,0.662985,18.2631,0.411245,3.13423,70.1461,13667300,2514.984148,385,2.59,7,29.7
5800,0.185309,0.104538,0.125578,0.331157576,0.39625,0.393651,-15.8861,-8.57771,0.66012,18.0732,0.674722,3.15287,69.9672,13572800,2473.465929,378,2.51,7,29.6
5825,0.186027,0.118666,0.200496,0.384765451,0.389375,0.505936,-18.251,-7.48692,0.713052,21.3657,0.796472,3.15489,70.0236,13572800,2473.465929,373,2.6,7,33.9
5825,0.187538,0.104342,0.12005,0.438511498,0.3025,0.410664,-17.4437,-11.4677,0.629192,17.6622,0.568066,3.13811,69.9584,13575000,2473.961183,388,2.61,7,29.5
6230,0.188119,0.144054,0.182703,0.350931182,0.464375,0.471546,-16.5278,-8.6584,0.714295,21.2252,0.675384,3.16116,69.7525,13575000,2473.961183,381,2.71,7,35
5189,0.190941,0.165239,0.302061,0.441682043,0.455625,0.649332,-14.7737,-8.98768,0.646691,17.4692,0.554155,3.11728,70.3415,13667300,2514.984148,411,2.08,7,35.3
6032,0.206818,0.0829208,0.0893641,0.204440358,0.405625,0.429795,-16.7819,-8.11634,0.681117,19.2484,0.837119,3.17515,69.9781,13572800,2473.465929,386,2.47,7,37.9
4236,0.219246,0.0336848,0.185567,0.405586199,0.3775,0.506786,-17.6608,-9.70774,0.705165,19.8922,0.640767,3.16162,70.1243,13646300,2499.948747,395,2.44,7,32.6
4952,0.235075,0.183107,0.217348,0.489273697,0.39625,0.605255,-15.4985,-17.6942,0.665295,18.4586,0.570454,3.15489,70.0236,13572800,2473.465929,408,2.1,7,38.8
4962,0.239197,0.154625,0.241223,0.551031587,0.318125,0.679839,-15.2494,-10.863,0.756932,22.1483,1.06397,3.14099,70.0854,13646300,2499.948747,395,2.44,7,33.2
4963,0.239662,0.138669,0.133292,0.431881343,0.38875,0.47216,-16.7342,-19.5088,0.698019,19.1416,0.670355,3.13307,70.0351,13667300,2514.984148,335,2.79,6,31.2
3996,0.252008,0.181479,0.209313,0.564400238,0.474375,0.748941,-18.1717,-20.6454,0.821659,26.2063,0.908373,3.1617,70.0043,13572800,2473.465929,365,2.49,7,33.5
5261,0.262612,0.267768,0.874607,0.907861971,0.3675,1.17601,-15.5103,-9.95793,0.742877,21.0337,1.13624,3.17637,70.2296,13646300,2499.948747,393,2.55,7,30.7
6352,0.263166,0.210065,0.221444,0.534131176,0.44125,0.703235,-17.108,-14.9544,0.730568,22.2403,0.868886,3.15575,69.9675,13572800,2473.465929,382,2.6,7,33
5623,0.26515,0.175826,0.232997,0.605193201,0.374375,0.829696,-15.473,-11.0224,0.622299,15.9438,0.497404,3.14001,70.2437,13646300,2499.948747,391,2.43,7,30.2
4569,0.279255,-0.101621,0.0997798,0.503354704,0.463125,0.439938,-15.1668,-9.81895,0.684031,19.9359,0.743248,3.13253,70.2976,13646300,2499.948747,398,2.62,7,32.2
6936,0.282548,0.443814,0.523059,0.959574605,0.365625,1.47794,-11.593,-10.5719,0.757466,22.4842,1.10624,3.15341,70.0769,13646300,2499.948747,408,2.14,7,33.1
6089,0.282984,0.1896,0.212018,0.673182657,0.43375,0.801358,-14.8245,-11.5719,0.662933,19.1414,0.722074,3.13456,70.2758,13646300,2499.948747,426,2.19,7,38.2
4163,0.336989,0.248891,0.324768,0.780709736,0.41375,1.07893,-18.6182,-9.62063,0.711212,20.4758,0.761761,3.13706,69.2954,13511700,2496.774225,377,2.63,7,30.4
4569,0.360983,0.216062,0.259506,0.72593683,0.478125,0.812635,-15.6248,-10.7594,0.657978,17.5275,0.696029,3.13644,70.2897,13646300,2499.948747,373,2.58,6,30
6265,0.368864,0.353116,0.38254,0.943211578,0.400625,1.07125,-15.8467,-11.2641,0.694769,19.4186,0.943058,3.15207,70.166,13646300,2499.948747,376,2.57,7,27.8
6432,0.369717,0.448172,0.527837,1.221430478,0.446875,1.73365,-17.319,-9.4338,0.70074,18.7554,0.517893,3.12613,70.3253,13646300,2499.948747,389,2.7,7,34.3
6436,0.370503,0.483849,0.561966,1.10766721,0.445,1.74097,-13.2654,-7.4896,0.705926,19.4959,0.557622,3.128,69.2392,13575000,2473.961183,377,2.62,7,34.8
6452,0.372001,0.339849,0.317109,0.887636756,0.409375,0.919443,-15.7166,-11.2758,0.65656,18.0082,0.589158,3.13641,70.2521,13646300,2499.948747,389,2.73,7,32.5
6475,0.381532,0.351495,0.276994,0.871381387,0.448125,0.982165,-17.882,-7.26999,0.620261,16.7169,0.556925,3.1345,70.194,13667300,2499.948747,378,2.74,6,30.6
5698,0.393004,0.350087,0.425324,0.970273484,0.445,1.35776,-14.4055,-7.19512,0.697556,20.0539,0.764854,3.11872,69.1049,13511700,2496.774225,378,2.7,7,39.6
7652,0.41473,0.310484,0.266526,0.893541364,0.425625,1.21883,-15.4584,-14.8233,0.646666,17.4866,0.797482,3.15014,69.9709,13646300,2499.948747,358,2.72,7,35.5
6232,0.414946,0.32469,0.368285,1.080545707,0.3725,1.16306,-16.7163,-12.151,0.612119,16.2753,0.668689,3.16541,70.2417,13646300,2499.948747,374,2.62,7,32
6323,0.421506,0.376839,0.313758,0.83770609,0.38,1.28456,-15.9067,-11.14,0.698763,19.5493,0.768639,3.13111,70.1138,13667300,2514.984148,385,2.83,6,35.5
6032,0.430286,0.232631,0.208854,0.869457894,0.424375,0.898244,-15.82,-5.87486,0.686279,19.2327,0.674722,3.15658,70.2016,13646300,2499.948747,365,2.54,7,40.6
7200,0.43633,0.414377,0.463841,1.208591083,0.4075,1.44108,-17.0604,-15.828,0.682938,19.6459,0.717117,3.15429,70.1837,13646300,2499.948747,366,2.64,7,31.4
6089,0.441487,0.39773,0.314529,1.000333052,0.3975,1.12394,-16.3121,-8.06836,0.61016,16.625,0.614279,3.13622,70.3526,13646300,2499.948747,386,2.68,7,30.6
6098,0.454785,0.366676,0.43665,0.848706254,0.42625,1.37816,-14.2876,-8.77965,0.712408,18.6301,0.556313,3.12083,70.3564,13646300,2499.948747,370,2.65,6,30.2
6131,0.455072,0.386565,0.478281,0.986867996,0.42125,1.2647,-17.4782,-7.44196,0.734853,21.2436,0.656767,3.15845,69.9982,13572800,2473.465929,356,2.82,6,27.8
6164,0.45775,0.472581,0.473225,1.162805178,0.45375,1.46753,-16.0334,-9.74535,0.663794,17.7899,0.626839,3.13276,70.2623,13646300,2499.948747,392,2.53,7,35.1
4526,0.465032,0.403614,0.437156,1.207177083,0.460625,1.4745,-16.392,-10.3362,0.643337,17.1247,0.528559,3.13644,70.2897,13646300,2499.948747,389,2.48,7,30.3
6235,0.473367,0.230128,0.265139,0.843328531,0.37,1.05679,-16.9856,-11.21,0.675567,19.97,0.974532,3.13307,70.0351,13667300,2514.984148,342,2.72,7,31.8
5145,0.478101,0.390755,0.502894,1.036507746,0.400625,1.20447,-18.5978,-8.43945,0.694321,19.3115,0.598439,3.1345,70.194,13667300,2514.984148,394,2.57,7,31.7
6235,0.48047,0.52859,0.552287,1.292529645,0.41375,1.49697,-17.44,-7.82142,0.667622,19.6574,0.671984,3.14091,70.171,13646300,2499.948747,378,2.75,7,29.5
5898,0.480775,0.438744,0.380059,1.051788461,0.3975,0.994835,-15.6213,-9.50249,0.642086,18.2209,0.624433,3.13622,70.3526,13646300,2499.948747,406,2.42,7,31.7
5364,0.48105,0.431373,0.518595,1.1027684,0.45875,1.15806,-17.4072,-13.1369,0.6656,18.3558,0.655594,3.18591,70.1122,13572800,2473.465929,387,2.54,7,33.3
5376,0.486032,0.478704,0.460055,1.024349845,0.480625,1.19107,-16.235,-12.5285,0.639432,17.7573,0.546282,3.12009,70.3257,13667300,2514.984148,406,2.14,7,38.7
6352,0.493747,0.456406,0.496222,1.031686184,0.4075,1.28195,-15.7819,-8.40526,0.67898,18.8349,0.569356,3.15429,70.1837,13646300,2499.948747,381,2.67,6,31.3
4152,0.504161,0.270948,0.399765,0.814272942,0.5,1.21407,-16.3874,-7.38846,0.70391,19.5333,0.645745,3.11429,70.3548,13854700,2508.902605,392,2.53,7,35.1
6265,0.511308,0.480309,0.537494,1.176859411,0.4,1.62693,-15.7836,-9.92792,0.662088,18.91,0.605678,3.15658,70.2016,13646300,2499.948747,392,2.44,7,33.5
5198,0.5125,0.41372,0.524385,0.955749556,0.409375,1.25354,-14.9631,-10.3389,0.632589,17.9361,0.710858,3.13641,70.2521,13646300,2499.948747,370,2.62,6,34.9
5328,0.518417,0.45732,0.455038,1.110300673,0.455,1.32932,-16.521,-8.84553,0.633429,17.9936,0.7085,3.13104,70.2494,13646300,2499.948747,357,2.79,7,33.7
6485,0.527833,0.480473,0.535586,1.16974955,0.493125,1.71126,-15.1891,-10.3006,0.678091,19.4414,0.594763,3.19583,70.2275,13573100,2484.017023,392,2.5,7,32.9
4563,0.528105,0.520077,0.622815,1.089962259,0.4175,1.26901,-16.3267,-18.2913,0.724073,20.5458,0.765343,3.15658,70.2016,13646300,2499.948747,353,2.58,7,31.9
5232,0.528599,0.497939,0.596546,1.091094263,0.53,1.56974,-18.3467,-12.3485,0.709832,20.7767,0.825816,3.19712,70.2198,13573100,2484.017023,384,2.53,7,32.9
6589,0.531477,0.527761,0.606502,1.314563347,0.4175,1.75018,-16.9115,-19.9394,0.683501,19.9339,0.535075,3.15658,70.2016,13646300,2499.948747,393,2.46,7,37.1
6600,0.536624,0.513715,0.504213,1.229870338,0.343125,1.24312,-16.3517,-9.00722,0.729046,20.168,0.819842,3.13716,70.1309,13667300,2514.984148,390,2.4,7,38.6
6956,0.536675,0.473282,0.602228,1.274640131,0.400625,1.67765,-16.8492,-9.65999,0.705504,20.5698,0.722934,3.15429,70.1837,13646300,2499.948747,402,2.53,7,32.5
6959,0.5457,0.497751,0.612186,1.1811474,0.438125,1.62771,-15.2618,-6.43314,0.701751,20.4298,0.687895,3.17909,70.0205,13572800,2473.465929,365,2.58,7,29.9
7062,0.548926,0.46678,0.649264,1.202714148,0.485625,1.58337,-16.149,-11.5812,0.602334,17.8342,0.801727,3.13644,70.2897,13646300,2499.948747,384,2.89,7,32.8
6359,0.54947,0.476616,0.534227,1.150857643,0.390625,1.60316,-16.4245,-10.2633,0.650563,18.0795,0.58351,3.14091,70.171,13646300,2499.948747,384,2.46,7,31.4
7192,0.553488,0.585656,0.584136,1.248635889,0.430625,1.53478,-19.9512,-9.93937,0.672516,18.246,0.942374,3.18301,70.0617,13572800,2473.465929,386,2.87,7,31.7
7285,0.557001,0.485189,0.506127,1.154890025,0.41125,1.27773,-15.8599,-10.385,0.653807,18.3225,0.793956,3.13456,70.2758,13646300,2499.948747,392,2.25,7,33.2
7566,0.582107,0.552903,0.488819,1.280990368,0.464375,1.72634,-15.4415,-11.5477,0.737758,22.1933,0.802186,3.12009,70.3257,13667300,2514.984148,357,2.56,7,36.4
7156,0.585672,0.629385,0.679742,1.218847754,0,1.80487,-14.8972,-8.87484,0.699753,19.0458,0.624096,3.16981,69.9879,13572800,2473.465929,388,2.57,7,33.9
7523,0.586244,0.556062,0.559638,1.299072954,0.3325,1.19366,-16.3214,-10.2282,0.694919,20.6279,0.884671,3.13541,70.1117,13667300,2514.984148,378,2.58,7,32.7
